level,start_ms,header,end_ms
1,1,مقدمة الكتاب,10
1,10,الفن الأول فى السماء والآثار العلوية، والأرض والمعالم السفلية,232
2,10,القسم الأول فى السماء وما فيها,32
3,10,الباب الأول من القسم الأول من الفن الأول,11
4,10,1- فى مبدإ خلق السماء,11
4,11,2- ذكر ما قيل فى أسماء السماء وخلقها,11
4,11,3- حكى فى سبب حدوثه,11
3,11,الباب الثانى,15
4,11,1- فى هيئتها,13
4,13,2- أما الأمثال,13
4,13,3- وأما الوصف والتشبيه,14
4,14,4- ومما قيل فى الفلك,15
3,15,الباب الثالث من القسم الأول من الفن الأول,16
4,15,1- فى ذكر الملائكة,16
3,16,الباب الرابع من القسم الأول من الفن الأول,29
4,16,1- فى الكواكب السبعة المتحيرة,17
4,17,2- ذكر ما قيل فى الشمس,18
4,18,3- ذكر ما يتمثل به مما فيه ذكر الشمس,19
4,19,4- ذكر ما جاء فى وصف الشمس وتشبيهها,20
4,20,5- ذكر شىء مما وصفت به على طريق الذم,21
4,21,6- ذكر ما قيل فى الكسوف,21
4,21,7- ذكر أسماء الشمس اللغوية,21
4,21,8- ذكر عباد الشمس,22
4,22,9- ذكر ما قيل فى القمر,22
4,22,10- ذكر ما قيل فى القمر (من استهلاله إلى انقضاء الشهر وأسماء لياليه),23
4,23,11- ذكر أسماء القمر اللغوية,23
4,23,12- ذكر ما يتمثل به مما فيه ذكر القمر,24
4,24,13- ذكر ما قيل فى وصفه وتشبيهه,25
4,25,14- ذكر شىء مما قيل فيه على طريق الذم,25
4,25,15- ذكر عباد القمر,26
4,26,16- ذكر ما قيل فى الكواكب المتحيرة,26
4,26,17- ذكر عباد الروحانيات,28
4,28,18- ذكر بيوت الهياكل (وأماكنها ونسبتها إلى الكواكب),29
3,29,الباب الخامس من القسم الأول من الفن الأول,32
4,29,1- فى الكواكب الثابتة,30
4,30,2- ذكر ما يتمثل به مما فيه ذكر الكواكب,30
4,30,3- ذكر ما قيل فى وصف الكواكب وتشبيهها,32
2,32,القسم الثانى من الفن الأول فى الآثار العلوية,63
3,32,الباب الأول من القسم الثانى من الفن الأول,41
4,32,1- فى السحاب، وسبب حدوثه، وفى الثلج والبرد,33
4,33,2- ذكر ما قيل فى ترتيب السحاب,34
4,34,3- ذكر ما قيل فى ترتيب المطر,34
4,34,4- ذكر ما قيل فى فعل السحاب والمطر,34
4,34,5- ذكر أسماء أمطار الأزمنة,34
4,34,6- ذكر أسماء المطر اللغوية,35
4,35,7- ذكر ما يتمثل به مما فيه ذكر المطر,36
4,36,8- ذكر شىء مما قيل في وصف السحاب والمطر,38
4,38,ومما ورد فى وصفها نثرا,40
4,40,9- ذكر شىء مما وصف به الثلج والبرد,41
3,41,الباب الثانى من القسم الثانى من الفن الأول,45
4,41,فى النيازك، والصواعق، والرعد، والبرق، وقوس قزح,42
4,42,المثل,42
4,42,وأما ترتيبه فى لمعانه,43
4,43,المثل:,43
4,43,ذكر ما قيل فى وصف الرعد والبرق,44
4,44,ذكر ما قيل فى وصفه وتشبيهه,45
3,45,الباب الثالث من القسم الثانى من الفن الأول,49
4,45,1- فى أسطقس الهواء,45
4,45,2- ذكر ما قيل فى حد الهواء,47
4,47,3- ذكر أسماء الرياح اللغوية,47
4,47,4- فصل فيما يذكر منها بلفظ الجمع,48
4,48,5- ذكر ما يتمثل به مما فيه ذكر الهواء,48
4,48,6- ذكر ما جاء فى وصف الهواء وتشبيهه,49
3,49,الباب الرابع من القسم الثانى من الفن الأول,63
4,49,1- فى أسطقس النار وأسمائها، وعبادها، وبيوت النيران,49
4,49,2- ذكر أسماء النار,50
4,50,3- ذكر عباد النار,51
4,51,4- وأما بيوت النيران,52
4,52,5- ذكر نيران العرب,55
4,55,6- ذكر النيران المجازية,55
4,55,7- ذكر النيران التى يضرب المثل بها,56
4,56,8- ذكر ما جاء منها على لفظ أفعل,56
4,56,9- ذكر ما قيل فى وصف النار وتشبيهها,57
4,57,10- ذكر شىء مما قيل فى الشمعة والشمعدان,63
5,59,ومما ورد فى وصفها نثرا.,59
5,59,2- ومما قيل فى السراج.,60
5,60,3- رسالة القنديل والشمعدان.,63
2,63,القسم الثالث من الفن الأول فى الليالى والأيام، والشهور والأعوام، والفصول والمواسم والأعياد,102
3,63,الباب الأول من هذا القسم,77
4,63,1- فى الليالى والأيام,64
4,64,2- ذكر ما قيل فى الليل وأقسامه,65
5,65,فصل,65
4,65,3- ذكر الليالى المشهورة,65
4,65,4- ذكر ما يتمثل به مما فيه ذكر الليل,65
4,65,5- ذكر ما قيل فى وصف الليل وتشبيهه,66
4,66,6- وأما ما وصف به من الطول,68
4,68,7- أما ما وصف به من القصر,69
4,69,8- أما ما وصف به من الإشراق,69
4,69,9- أما ما وصف به من الظلمة,70
4,70,10- ومما قيل فى تباشير الصباح,72
4,72,11- ذكر ما قيل فى النهار,73
4,73,12- ذكر الأيام التى خصت بالذكر,74
4,74,13- ذكر أيام أصحاب الملل الثلاث,74
4,74,14- ذكر ما يتمثل به مما فيه ذكر النهار,74
4,74,15- ذكر شىء مما قيل فى وصف النهار وتشبيهه,75
4,75,16- ذكر شىء مما وصفت به الآلات,77
3,77,الباب الثانى من القسم الثالث من الفن الأول فى الشهور والأعوام,84
4,77,1- ذكر الشهور وما قيل فيها,77
4,77,2- ذكر الأشهر العربية,79
4,79,3- وأما شهور اليهود,79
4,79,4- وأما الشهور العجمية,81
4,81,5- ذكر ما يختص بالسنة من القول,82
4,82,6- ذكر النسىء ومذهب العرب فيه,83
4,83,7- ذكر السنين التى يضرب بها المثل,84
3,84,الباب الثالث من القسم الثالث من الفن الأول,93
4,84,1- فى الفصول وأزمنتها,93
